iso_code,location,date,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index
FRO,Faeroe Islands,2020-06-20,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-21,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-22,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-23,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-24,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-25,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-26,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-27,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-28,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-29,187.0,,,48865,,
FRO,Faeroe Islands,2020-06-30,187.0,,,48865,,
FRO,Faeroe Islands,2020-07-01,187.0,,,48865,,
FRO,Faeroe Islands,2020-07-02,187.0,,,48865,,
FRO,Faeroe Islands,2020-07-03,187.0,,,48865,,
FRO,Faeroe Islands,2020-07-04,187.0,,,48865,,
FRO,Faeroe Islands,2020-07-05,187.0,,,48865,,
FRO,Faeroe Islands,2020-07-06,187.0,,,48865,,
FRO,Faeroe Islands,2020-07-07,187.0,,,48865,,
FRO,Faeroe Islands,2020-07-08,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-09,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-10,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-11,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-12,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-13,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-14,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-15,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-16,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-17,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-18,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-19,188.0,,,48865,,
FRO,Faeroe Islands,2020-07-20,191.0,,,48865,,
FRO,Faeroe Islands,2020-07-21,191.0,,,48865,,
FRO,Faeroe Islands,2020-07-22,191.0,,,48865,,
FRO,Faeroe Islands,2020-07-23,191.0,,,48865,,
FRO,Faeroe Islands,2020-07-24,191.0,,,48865,,
FRO,Faeroe Islands,2020-07-25,191.0,,,48865,,
FRO,Faeroe Islands,2020-07-26,191.0,,,48865,,
FRO,Faeroe Islands,2020-07-27,191.0,,,48865,,
FRO,Faeroe Islands,2020-07-28,214.0,,,48865,,
FRO,Faeroe Islands,2020-07-29,220.0,,,48865,,
FRO,Faeroe Islands,2020-07-30,220.0,,,48865,,
FRO,Faeroe Islands,2020-07-31,220.0,,,48865,,
FRO,Faeroe Islands,2020-08-01,225.0,,,48865,,
FRO,Faeroe Islands,2020-08-02,225.0,,,48865,,
FRO,Faeroe Islands,2020-08-03,225.0,,,48865,,
FRO,Faeroe Islands,2020-08-04,225.0,,,48865,,
FRO,Faeroe Islands,2020-08-05,227.0,,,48865,,
FRO,Faeroe Islands,2020-08-06,241.0,,,48865,,
FRO,Faeroe Islands,2020-08-07,241.0,,,48865,,
